stride_id,timestamp,is_baseline,gait_state,gait_state_id,confidence,nearest_distance,d_patient,d_healthy,d_target,healthy_region_threshold,inside_healthy_region,manifold_deviation,delta_healthy,stride_time,swing_time,stance_time,swing_ratio,stance_ratio,swing_stance_ratio,phase_source,swing_symmetry_ratio,stance_symmetry_ratio,swing_stance_symmetry_ratio,belt_excursion,peak_belt_velocity,trunk_rms,trunk_acc_rms,trunk_gyro_rms,swing_ratio_error,belt_excursion_error,temporal_symmetry_error,trunk_error,biomechanical_deviation,reference_source,decision_state,assist_score,raw_assist_gain,e_manifold,e_baseline,e_healthy,assist_mode,e_swing,e_excursion,deviation_score,assist_gain,gain_delta,target_belt_length,ood_flag,valid
15,21.331418598000027,0,S0,0,1.0,0.5828589003874171,0.582858900387417,,0.582858900387417,,,0.3411929495996281,,1.340218898999865,0.5402342719999069,0.799984626999958,0.40309405605536186,0.5969059439446381,0.6753058168453221,scheduled,,,,129.0,590.4,0.18742743133391773,0.18742743133391773,1.6690834485428105,0.0,0.0,,0.20579817126039626,0.0,patient_baseline,MANIFOLD_DEVIATION_ONLY,0.0,0.0,0.3411929495996281,0.3411929495996281,,baseline_stabilization,0.020767264689678287,0.022180201359432,0.18126269447860394,0.0,0.0,-128.35819636174102,0,1
16,22.660247350999956,0,S0,0,1.0,0.7826045257474659,0.7826045257474659,,0.7826045257474659,,,0.4581197032975093,,1.3288287529999288,0.5400122789999457,0.788816473999983,0.4063821450136658,0.5936178549863342,0.6845854476918003,scheduled,,,,133.7,651.4,0.19364067899359624,0.19364067899359624,1.5778367630437642,0.0,0.0,,0.4488000054088916,0.0,patient_baseline,MANIFOLD_DEVIATION_ONLY,0.0,0.0,0.4581197032975093,0.4581197032975093,,baseline_stabilization,0.04816800600887794,0.0,0.24351025345141802,0.0,0.0,-128.35819636174102,0,1
17,23.991554907000136,0,S0,0,1.0,0.5952441523701908,0.5952441523701908,,0.5952441523701908,,,0.34844300729408634,,1.33130755600018,0.5313305839999884,0.7999769720001915,0.3991043103490931,0.6008956896509069,0.6641823484887278,scheduled,,,,139.60000000000002,575.5,0.1772869596944453,0.1772869596944453,1.4625521808368227,0.0,0.0,,0.0,0.0,patient_baseline,MANIFOLD_DEVIATION_ONLY,0.0,0.0,0.34844300729408634,0.34844300729408634,,baseline_stabilization,0.012480616195894672,0.0,0.17796568850581157,0.0,0.0,-128.35819636174102,0,1
18,25.32017596300011,0,S0,0,1.0,0.5638993074024335,0.5638993074024335,,0.5638993074024335,,,0.3300944153755558,,1.3286210559999745,0.5286511230001452,0.7999699329998293,0.39789458447372017,0.6021054155262798,0.6608387405483375,scheduled,,,,146.3,686.6,0.17323018335000012,0.17323018335000012,1.3545981985170092,0.0,0.0,,0.0,0.0,patient_baseline,MANIFOLD_DEVIATION_ONLY,0.0,0.0,0.3300944153755558,0.3300944153755558,,baseline_stabilization,0.022561665157335802,0.0,0.17181570723497863,0.0,0.0,-128.35819636174102,0,1
19,26.651457880999946,0,S0,0,1.0,0.7333735004179859,0.7333735004179859,,0.7333735004179859,,,0.42930092960663074,,1.331281917999835,0.5314384129999361,0.7998435049998989,0.39919299271966974,0.6008070072803302,0.6644279908230339,scheduled,,,,125.5,619.8,0.1723838337331282,0.1723838337331282,1.681704512306509,0.0,0.0,,0.0,0.0,patient_baseline,MANIFOLD_DEVIATION_ONLY,0.0,0.0,0.42930092960663074,0.42930092960663074,,baseline_stabilization,0.011741596441089408,0.07584197884192803,0.2333413395040278,0.0,0.0,-128.35819636174102,0,1
20,27.980448114999945,0,S0,0,1.0,0.6064484033113292,0.6064484033113292,,0.6064484033113292,,,0.3550017326118613,,1.328990233999999,0.5288092519999736,0.8001809820000254,0.39790303831530943,0.6020969616846906,0.6608620598283063,scheduled,,,,136.2,655.9,0.17432570969465505,0.17432570969465505,1.4037462987144236,0.0,0.0,,0.0,0.0,patient_baseline,MANIFOLD_DEVIATION_ONLY,0.0,0.0,0.3550017326118613,0.3550017326118613,,baseline_stabilization,0.022491216477425285,0.0,0.18424823124915823,0.0,0.0,-128.35819636174102,0,1
21,29.32043072400006,0,S0,0,1.0,0.702133058581177,0.7021330585811769,,0.7021330585811769,,,0.4110134530149349,,1.339982609000117,0.5398612389999471,0.8001213700001699,0.4028867504502814,0.5971132495497187,0.6747241846569257,scheduled,,,,140.60000000000002,684.4,0.17921714326056395,0.17921714326056395,1.6335827663376432,0.0,0.0,,0.0,0.0,patient_baseline,MANIFOLD_DEVIATION_ONLY,0.0,0.0,0.4110134530149349,0.4110134530149349,,baseline_stabilization,0.019039717980674314,0.0,0.21121864190166975,0.0,0.0,-128.35819636174102,0,1
22,30.651337603,0,S0,0,1.0,0.5715824402844072,0.5715824402844072,,0.5715824402844072,,,0.33459195460576063,,1.33090687899994,0.5395627309999327,0.7913441480000074,0.40540982957828486,0.5945901704217151,0.6818306957391282,scheduled,,,,129.3,634.1,0.17991214340519657,0.17991214340519657,1.6204810876074238,0.0,0.0,,0.0,0.0,patient_baseline,MANIFOLD_DEVIATION_ONLY,0.0,0.0,0.33459195460576063,0.33459195460576063,,baseline_stabilization,0.040065377380703315,0.01758062043236074,0.18283171460356346,0.0,0.0,-128.35819636174102,0,1
23,31.980360146000063,0,S0,0,1.0,0.7780855864021509,0.7780855864021508,,0.7780855864021508,,,0.45547441428628366,,1.329022543000061,0.5286931190000779,0.8003294239999832,0.397805982889226,0.602194017110774,0.6605943791966457,scheduled,,,,147.9,716.5,0.17959482703707869,0.17959482703707869,1.5818303043843542,0.0008350751888680508,0.0,,0.0,0.0,patient_baseline,MANIFOLD_DEVIATION_ONLY,0.0,0.0,0.45547441428628366,0.45547441428628366,,baseline_stabilization,0.023300011694787442,0.0,0.23472721065157806,0.0,0.0,-128.35819636174102,0,1
24,33.31186643700016,0,S0,0,1.0,0.7407166605945645,0.7407166605945645,,0.7407166605945645,,,0.43359945619405027,,1.3315062910000997,0.5315774340001553,0.7999288569999443,0.3992301332657508,0.6007698667342493,0.6645308884014823,scheduled,,,,121.80000000000001,652.8,0.1788313229233916,0.1788313229233916,1.4620826933562565,0.0,0.0,,0.0,0.0,patient_baseline,MANIFOLD_DEVIATION_ONLY,0.0,0.0,0.43359945619405027,0.43359945619405027,,baseline_stabilization,0.011432091890413906,0.13257014360913794,0.2467433843859769,0.0,0.0,-128.35819636174102,0,1
