stride_id,timestamp,gait_cluster,cluster_confidence,ood,ood_engaged,d_patient,d_healthy,d_target,healthy_region_threshold,manifold_deviation,delta_healthy,estimated_swing_time,estimated_stance_time,estimated_stride_time,estimated_swing_ratio,estimated_stance_ratio,estimated_swing_stance_ratio,phase_source,swing_symmetry_ratio,stance_symmetry_ratio,swing_stance_symmetry_ratio,belt_excursion,peak_belt_velocity,trunk_acc_rms,trunk_gyro_rms,swing_ratio_error,belt_excursion_error,temporal_symmetry_error,trunk_error,biomechanical_deviation,reference_source,decision_state,raw_assist_gain,assist_gain,gain_updated,target_belt_length,motor_position,motor_velocity,motor_current
16,219.83,S0,1.0,0,0,0.6444004521988572,1.9383368106980514,1.9383368106980514,0.8213994393425422,1.0,-0.2901159507185622,0.710000000000008,0.9200000000000159,1.6300000000000239,0.43558282208588806,0.564417177914112,0.7717391304347779,belt_cycle,,,,104.3,456.9,0.11130413017556598,1.0057463725437656,0.0,0.0,,0.0,0.0,healthy_reference:0p6,MANIFOLD_DEVIATION_ONLY,0.0,0.0,0,-88.70686769145121,-1.85,3.56,0.28
17,221.59,S0,1.0,0,0,0.4408014236379587,1.73633509064979,1.73633509064979,1.006736966214321,1.0,-0.08811423067030089,0.6499999999999773,1.1100000000000136,1.759999999999991,0.36931818181817083,0.6306818181818292,0.585585585585558,belt_cycle,,,,106.60000000000001,371.9,0.10553761408873258,1.0520671381707887,0.0,0.0,,1.0,0.0,healthy_reference:0p4,MANIFOLD_DEVIATION_ONLY,0.0,0.0,0,-88.70686769145121,-1.83,5.21,0.21
18,223.1,OOD,1.0,1,0,0.9638913123108911,2.069501880240601,2.069501880240601,0.8213994393425422,1.0,-0.4212810202611119,0.6999999999999886,0.8100000000000023,1.509999999999991,0.4635761589403926,0.5364238410596074,0.864197530864181,belt_cycle,,,,89.19999999999999,337.5,0.09525532198280928,1.0444449038806702,0.0,0.0848466194726585,,0.0,0.05939263363086094,healthy_reference:0p6,COMBINED_DEVIATION,0.047514106904688755,0.0,1,-88.70686769145121,-1.87,1.5,0.4
19,225.05,S0,1.0,0,0,0.6914135544700446,1.8766337623505807,1.8766337623505807,1.006736966214321,1.0,-0.22841290237109146,0.6099999999999852,1.3400000000000318,1.950000000000017,0.3128205128205025,0.6871794871794975,0.4552238805969931,belt_cycle,,,,115.6,332.7,0.10247379976645618,0.95129375977978,0.43623035610182603,0.0,,1.0,0.1308691068305478,healthy_reference:0p4,COMBINED_DEVIATION,0.10469528546443825,0.0,0,-88.70686769145121,-1.78,2.8,0.31
20,226.92,OOD,1.0,1,0,1.3545932762266857,2.3155949539132155,2.3155949539132155,1.006736966214321,1.0,-0.6673740939337263,0.7800000000000011,1.089999999999975,1.8699999999999761,0.4171122994652466,0.5828877005347535,0.7155963302752468,belt_cycle,,,,81.9,269.8,0.09125009194698859,0.9431520871399899,0.0,0.05563562986451414,,1.0,0.038944940905159896,healthy_reference:0p4,COMBINED_DEVIATION,0.031155952724127918,0.0,0,-88.70686769145121,-1.84,3.05,0.16
21,228.63,S0,1.0,0,0,0.5085593671121404,1.772704025751559,1.772704025751559,0.8213994393425422,1.0,-0.12448316577206975,0.7399999999999807,0.9700000000000273,1.710000000000008,0.4327485380116826,0.5672514619883174,0.762886597938103,belt_cycle,,,,96.80000000000001,322.0,0.10383475800630304,0.9155628735818594,0.0,0.00687390992100135,,0.0,0.004811736944700945,healthy_reference:0p6,COMBINED_DEVIATION,0.003849389555760756,0.003849389555760756,1,-89.09180664702728,-1.85,4.48,0.51
22,230.33,S0,1.0,0,0,0.7301149353091303,1.8474504037747264,1.8474504037747264,0.8213994393425422,1.0,-0.19922954379523716,0.6900000000000261,1.009999999999991,1.700000000000017,0.4058823529411878,0.5941176470588122,0.6831683168317152,belt_cycle,,,,91.2,291.1,0.09773950928976798,0.8674949017151663,0.0,0.06432748538011705,,0.0,0.04502923976608193,healthy_reference:0p6,COMBINED_DEVIATION,0.03602339181286555,0.003849389555760756,0,-89.09180664702728,-1.88,3.74,0.27
23,232.02,S0,1.0,0,0,0.7609832652866452,1.7498847199579741,1.7498847199579741,0.8213994393425422,1.0,-0.10166385997848493,0.6800000000000068,1.009999999999991,1.6899999999999977,0.40236686390533,0.59763313609467,0.6732673267326861,belt_cycle,,,,89.7,290.4,0.09721363850150783,0.8112739803112085,0.0,0.07971683594952303,,0.0,0.055801785164666114,healthy_reference:0p6,COMBINED_DEVIATION,0.04464142813173289,0.003849389555760756,0,-89.09180664702728,-1.89,4.47,0.49
24,233.59,S0,1.0,0,0,0.7631847668991,1.6796140076734498,1.6796140076734498,0.8213994393425422,1.0,-0.03139314769396062,0.6699999999999875,0.9000000000000057,1.5699999999999932,0.4267515923566818,0.5732484076433182,0.7444444444444258,belt_cycle,,,,91.30000000000001,315.0,0.1050153631149198,0.9830279332273023,0.0,0.06330152867548991,,0.0,0.044311070072842934,healthy_reference:0p6,COMBINED_DEVIATION,0.03544885605827435,0.03544885605827435,1,-92.25175329727864,-1.9,4.18,0.68
25,235.09,S0,1.0,0,0,0.7911825458237975,1.8692837611473583,1.8692837611473583,0.8213994393425422,1.0,-0.22106290116786909,0.6299999999999955,0.8700000000000045,1.5,0.419999999999997,0.5800000000000031,0.7241379310344738,belt_cycle,,,,102.9,388.0,0.1384314403753473,0.9215837582236475,0.0,0.0,,0.0,0.0,healthy_reference:0p6,MANIFOLD_DEVIATION_ONLY,0.0,0.03544885605827435,0,-92.25175329727864,-1.94,3.1,0.56
