stride_id,timestamp,gait_cluster,cluster_confidence,ood,ood_engaged,d_patient,d_healthy,d_target,healthy_region_threshold,manifold_deviation,delta_healthy,estimated_swing_time,estimated_stance_time,estimated_stride_time,estimated_swing_ratio,estimated_stance_ratio,estimated_swing_stance_ratio,phase_source,swing_symmetry_ratio,stance_symmetry_ratio,swing_stance_symmetry_ratio,belt_excursion,peak_belt_velocity,trunk_acc_rms,trunk_gyro_rms,swing_ratio_error,belt_excursion_error,temporal_symmetry_error,trunk_error,biomechanical_deviation,reference_source,decision_state,raw_assist_gain,assist_gain,gain_updated,target_belt_length,motor_position,motor_velocity,motor_current
16,950.45,S0,1.0,0,0,0.7072896345591423,2.1364202859546504,2.1364202859546504,0.8562813681631302,1.0,-0.17260586697849134,0.5399999999999636,0.7800000000000864,1.32000000000005,0.40909090909086604,0.590909090909134,0.692307692307569,belt_cycle,,,,139.3,655.7,0.1464538790942585,1.1468514304256352,0.0,0.0,,0.0,0.0,healthy_reference:0p8,MANIFOLD_DEVIATION_ONLY,0.0,0.0,0,-105.22332524828292,-1.48,6.82,0.19
17,951.87,S0,1.0,0,0,1.1910522459679431,2.323167603665079,2.323167603665079,0.8562813681631302,1.0,-0.35935318468891997,0.5299999999999727,0.8899999999999864,1.419999999999959,0.3732394366197099,0.6267605633802902,0.5955056179775066,belt_cycle,,,,157.39999999999998,694.8,0.15617326048999916,1.2466885630841669,0.07588591506281162,0.0,,0.0,0.022765774518843485,healthy_reference:0p8,COMBINED_DEVIATION,0.01821261961507479,0.0,0,-105.22332524828292,-1.41,9.84,0.12
18,953.27,S0,1.0,0,0,1.0387194240469,2.20390580798951,2.20390580798951,0.8562813681631302,1.0,-0.24009138901335114,0.5699999999999363,0.8300000000000409,1.3999999999999773,0.4071428571428183,0.5928571428571817,0.6867469879516966,belt_cycle,,,,151.5,695.3,0.15003547137030251,1.138426253559153,0.0,0.0,,0.0,0.0,healthy_reference:0p8,MANIFOLD_DEVIATION_ONLY,0.0,0.0,1,-105.22332524828292,-1.43,7.95,-0.15
19,954.65,S0,1.0,0,0,1.3268540554879045,2.3600022078827636,2.3600022078827636,0.8562813681631302,1.0,-0.39618778890660455,0.5699999999999363,0.8100000000000591,1.3799999999999955,0.41304347826082477,0.5869565217391752,0.7037037037035737,belt_cycle,,,,161.79999999999998,720.6,0.159700391253898,1.0070193450399072,0.0,0.0,,0.0,0.0,healthy_reference:0p8,MANIFOLD_DEVIATION_ONLY,0.0,0.0,0,-105.22332524828292,-1.32,10.85,0.11
20,956.04,S0,1.0,0,0,1.386793350187322,2.4720516813481135,2.4720516813481135,0.8562813681631302,1.0,-0.5082372623719544,0.5499999999999545,0.8400000000000318,1.3899999999999864,0.39568345323738124,0.6043165467626188,0.6547619047618258,belt_cycle,,,,166.0,739.6,0.14442345591877997,1.1622430701849324,0.0,0.0,,0.0,0.0,healthy_reference:0p8,MANIFOLD_DEVIATION_ONLY,0.0,0.0,0,-105.22332524828292,-1.36,8.5,0.31
21,957.41,S0,1.0,0,0,1.215550623209659,2.3817207109966705,2.3817207109966705,0.8562813681631302,1.0,-0.41790629202051144,0.5599999999999454,0.8100000000000591,1.3700000000000045,0.40875912408755005,0.5912408759124499,0.6913580246912402,belt_cycle,,,,157.0,712.7,0.16147777703890967,1.2785762611187972,0.0,0.0,,0.0,0.0,healthy_reference:0p8,MANIFOLD_DEVIATION_ONLY,0.0,0.0,1,-105.22332524828292,-1.38,9.06,-0.11
22,958.74,S0,1.0,0,0,0.9144538348016499,2.1434899614545224,2.1434899614545224,0.8562813681631302,1.0,-0.17967554247836337,0.5499999999999545,0.7800000000000864,1.330000000000041,0.41353383458641924,0.5864661654135808,0.7051282051280687,belt_cycle,,,,146.7,678.0,0.14882556975621936,1.3495209365325145,0.0,0.0,,0.0,0.0,healthy_reference:0p8,MANIFOLD_DEVIATION_ONLY,0.0,0.0,0,-105.22332524828292,-1.47,8.43,-0.15
23,960.12,S0,1.0,0,0,0.8130810682851338,2.1326448522681334,2.1326448522681334,0.8562813681631302,1.0,-0.16883043329197434,0.5399999999999636,0.8400000000000318,1.3799999999999955,0.3913043478260619,0.6086956521739381,0.6428571428570752,belt_cycle,,,,164.4,730.6,0.1836763990410658,1.220346562508262,0.0,0.0,,0.0,0.0,healthy_reference:0p8,MANIFOLD_DEVIATION_ONLY,0.0,0.0,0,-105.22332524828292,-1.4,11.26,0.07
24,961.47,S0,1.0,0,0,1.2859406860127398,2.4380912919407525,2.4380912919407525,0.8562813681631302,1.0,-0.4742768729645934,0.5499999999999545,0.8000000000000682,1.3500000000000227,0.40740740740736686,0.5925925925926332,0.6874999999998845,belt_cycle,,,,151.39999999999998,686.7,0.1617524298318104,1.2874887260952308,0.0,0.0,,0.0,0.0,healthy_reference:0p8,MANIFOLD_DEVIATION_ONLY,0.0,0.0,1,-105.22332524828292,-1.46,8.0,0.04
25,963.07,S0,1.0,0,0,1.3998996978160358,2.4382526861915865,2.4382526861915865,0.8213994393425422,1.0,-0.4744382672154275,0.5400000000000773,1.0599999999999454,1.6000000000000227,0.33750000000004354,0.6624999999999565,0.5094339622642501,belt_cycle,,,,144.3,620.5,0.15448670243183663,0.7431642664325933,0.40650482458924386,0.0,,0.5164180244945209,0.12195144737677316,healthy_reference:0p6,COMBINED_DEVIATION,0.09756115790141853,0.0,0,-105.22332524828292,-1.56,6.82,-0.02
